1,446,186,57,159,0
1,488,192,48,150,0
1,192,195,36,116,0
1,146,202,41,117,0
1,560,191,31,74,0
1,308,220,19,40,0
2,446,187,60,161,0
2,146,201,42,118,0
2,193,195,39,116,0
2,559,190,32,76,0
2,471,193,55,153,0
2,487,197,48,145,0
2,308,223,18,35,0
3,453,183,58,165,0
3,192,195,37,117,0
3,145,202,42,118,0
3,502,187,35,153,0
3,559,188,32,79,0
3,136,198,78,119,0
3,308,223,18,36,0
4,460,180,51,170,0
4,146,201,43,121,0
4,192,194,36,119,0
4,500,191,38,153,0
4,559,190,31,73,0
4,221,201,21,65,0
4,308,223,18,36,0
5,471,181,49,168,0
5,146,201,46,122,0
5,192,194,36,119,0
5,500,189,42,156,0
5,561,191,31,73,0
5,461,193,20,56,0
5,137,197,79,121,0
5,222,204,20,64,0
6,145,197,47,127,0
6,193,194,35,119,0
6,477,180,45,171,0
6,555,190,37,74,0
6,513,190,34,150,0
6,463,190,20,60,0
6,222,202,20,64,0
6,496,185,40,161,0
7,145,197,47,126,0
7,192,194,35,118,0
7,481,178,52,177,0
7,515,191,50,162,0
7,220,200,22,67,0
7,562,190,32,74,0
7,244,210,12,45,0
8,147,197,43,128,0
8,488,181,50,173,0
8,520,193,61,164,0
8,193,194,36,118,0
8,138,195,76,126,0
8,222,201,20,65,0
8,562,190,33,65,0
8,306,224,17,34,0
9,515,188,69,168,0
9,148,201,43,124,0
9,489,180,64,176,0
9,192,193,35,119,0
9,222,202,22,65,0
9,564,190,32,66,0
9,360,210,17,53,0
9,141,200,75,121,0
10,489,184,73,175,0
10,151,202,42,122,0
10,194,195,38,117,0
10,532,201,60,156,0
10,223,201,20,65,0
11,492,179,72,183,0
11,152,200,40,124,0
11,194,196,38,116,0
11,542,196,51,163,0
12,492,181,76,181,0
12,153,198,42,125,0
12,195,196,38,116,0
12,552,181,39,173,0
13,502,174,69,190,0
13,153,198,43,126,0
13,555,171,42,187,0
13,195,195,38,117,0
13,481,202,17,45,0
13,419,198,13,43,0
14,512,178,65,187,0
14,157,198,38,126,0
14,562,180,42,173,0
14,197,193,35,120,0
14,478,194,19,53,0
15,525,172,56,195,0
15,157,199,39,127,0
15,562,181,58,178,0
15,196,194,35,121,0
15,480,192,18,56,0
16,158,198,37,127,0
16,567,191,72,169,0
16,535,178,56,188,0
16,197,193,37,120,0
16,544,181,75,183,0
16,483,192,16,55,0
17,537,174,63,200,0
17,158,200,37,127,0
17,198,195,38,116,0
17,485,192,14,54,0
17,419,198,13,43,0
17,489,193,16,52,0
17,149,199,81,123,0
18,540,175,84,204,0
18,154,198,43,130,0
18,489,194,15,52,0
18,198,195,38,116,0
18,419,198,14,43,0
18,305,221,19,37,0
19,541,181,92,199,0
19,156,199,43,129,0
19,489,194,15,53,0
19,199,195,39,119,0
19,419,196,14,44,0
19,232,202,18,64,0
20,543,180,92,206,0
20,156,199,42,130,0
20,201,193,35,120,0
20,490,193,16,54,0
20,419,196,14,45,0
